bacteria	talla	est	epoca
0	39.5	a	0
0	50.7	a	0
0	20.8	a	0
0	19.7	a	0
1	21.3	a	0
0	35.2	a	0
0	20.9	a	0
0	30.3	a	0
0	36.6	a	0
0	29.5	a	0
0	21.1	a	0
0	45.7	a	0
0	20.4	a	0
0	24.1	a	0
0	54.7	a	0
0	33.9	a	0
0	32.1	a	0
0	29	a	0
0	33.1	a	0
0	27.9	a	0
0	40.8	a	0
0	17.5	a	0
0	33.1	a	0
0	35.4	a	0
0	35.3	a	0
0	33.3	a	0
0	33.5	a	0
0	23.3	a	0
0	36.5	a	0
0	43.6	a	0
0	31.3	a	0
0	20.6	a	0
0	37.8	a	0
0	32.7	a	0
0	40.5	a	0
0	36.4	a	0
0	30.5	a	0
0	41.2	b	0
1	21.5	b	0
0	19.2	b	0
0	21.6	b	0
0	34.6	b	0
1	23.1	b	0
0	26.4	b	0
0	35.3	b	0
0	34.6	b	0
0	40.6	b	0
0	44.3	b	0
0	44.4	b	0
0	35	b	0
0	39.1	b	0
0	21.7	b	0
0	27.4	b	0
0	38.7	b	0
0	24.6	b	0
0	43.1	b	0
0	26.9	b	0
0	21.8	b	0
0	43.6	b	0
0	27.7	b	0
0	32.4	b	0
0	35.3	b	0
0	24.8	c	0
0	35.5	c	0
1	27.3	c	0
1	19.4	c	0
0	29.5	c	0
0	41.7	c	0
0	23.7	c	0
1	22.8	c	0
0	29.1	c	0
0	30.6	c	0
1	36.5	c	0
1	15.2	c	0
0	32.3	c	0
1	36.9	c	0
0	27.3	c	0
0	23.6	c	0
0	29.8	c	0
0	40.6	c	0
0	45	c	0
0	28.8	c	0
1	33.7	c	0
1	21.3	c	0
1	30.7	c	0
0	32.6	c	0
0	42.5	c	0
0	32.6	c	0
0	29.6	c	0
0	41.4	c	0
0	39.4	c	0
1	33	c	0
0	33.5	c	0
0	40.2	c	0
0	36.2	c	0
0	37.7	c	0
0	29.6	c	0
1	15.9	c	0
0	35.7	c	0
0	35.5	a	1
0	29	a	1
1	20.1	a	1
0	19.7	a	1
0	36.7	a	1
1	26.8	a	1
0	32.3	a	1
0	43.9	a	1
0	37	a	1
0	28.2	a	1
0	39.5	a	1
0	37.6	a	1
0	44	a	1
0	36.1	a	1
1	18.4	a	1
0	26.7	a	1
0	35	a	1
1	24.8	a	1
0	24.3	a	1
0	38.8	a	1
0	38.3	a	1
0	31.6	a	1
1	31.4	a	1
1	13.9	a	1
0	34	a	1
0	40.6	a	1
0	44.9	b	1
0	31.4	b	1
0	26.2	b	1
1	27.5	b	1
0	39.6	b	1
1	18.7	b	1
1	5.4	b	1
1	34.6	b	1
0	33.5	b	1
0	25	b	1
0	26.9	b	1
0	53.1	b	1
0	22.7	b	1
1	31.3	b	1
0	48.6	b	1
1	24.4	b	1
1	36	b	1
0	24.2	b	1
0	25.9	b	1
0	35.7	b	1
0	37.3	b	1
0	33.9	b	1
0	20.1	b	1
1	12.5	b	1
1	14	b	1
0	27.9	b	1
0	45.6	b	1
0	43.7	b	1
0	19.4	b	1
0	26.9	b	1
0	34.2	b	1
1	31.6	b	1
1	30.6	b	1
0	30.1	b	1
0	37	b	1
1	20.8	b	1
0	44.3	b	1
1	21.6	b	1
0	41	b	1
0	32.8	b	1
0	40.9	b	1
1	14.3	c	1
0	35.1	c	1
1	27.7	c	1
0	37.1	c	1
1	22.9	c	1
1	18.1	c	1
0	35.2	c	1
0	44.1	c	1
1	21.4	c	1
1	26.4	c	1
0	26.9	c	1
1	24.2	c	1
0	31.9	c	1
1	36.1	c	1
1	24.3	c	1
1	35.8	c	1
1	23	c	1
1	27.2	c	1
1	37.3	c	1
0	29.6	c	1
0	33.8	c	1
0	42.5	c	1
1	22.8	c	1
1	30.6	c	1
0	50.5	c	1
1	18.6	c	1
1	28.5	c	1
