bacteria	talla	zona	epoca
0	39.5	a	lluvia
0	50.7	a	lluvia
0	20.8	a	lluvia
0	19.7	a	lluvia
1	21.3	a	lluvia
0	35.2	a	lluvia
0	20.9	a	lluvia
0	30.3	a	lluvia
0	36.6	a	lluvia
0	29.5	a	lluvia
0	21.1	a	lluvia
0	45.7	a	lluvia
0	20.4	a	lluvia
0	24.1	a	lluvia
0	54.7	a	lluvia
0	33.9	a	lluvia
0	32.1	a	lluvia
0	29	a	lluvia
0	33.1	a	lluvia
0	27.9	a	lluvia
0	40.8	a	lluvia
0	17.5	a	lluvia
0	33.1	a	lluvia
0	35.4	a	lluvia
0	35.3	a	lluvia
0	33.3	a	lluvia
0	33.5	a	lluvia
0	23.3	a	lluvia
0	36.5	a	lluvia
0	43.6	a	lluvia
0	31.3	a	lluvia
0	20.6	a	lluvia
0	37.8	a	lluvia
0	32.7	a	lluvia
0	40.5	a	lluvia
0	36.4	a	lluvia
0	30.5	a	lluvia
0	41.2	b	lluvia
1	21.5	b	lluvia
0	19.2	b	lluvia
0	21.6	b	lluvia
0	34.6	b	lluvia
1	23.1	b	lluvia
0	26.4	b	lluvia
0	35.3	b	lluvia
0	34.6	b	lluvia
0	40.6	b	lluvia
0	44.3	b	lluvia
0	44.4	b	lluvia
0	35	b	lluvia
0	39.1	b	lluvia
0	21.7	b	lluvia
0	27.4	b	lluvia
0	38.7	b	lluvia
0	24.6	b	lluvia
0	43.1	b	lluvia
0	26.9	b	lluvia
0	21.8	b	lluvia
0	43.6	b	lluvia
0	27.7	b	lluvia
0	32.4	b	lluvia
0	35.3	b	lluvia
0	24.8	c	lluvia
0	35.5	c	lluvia
1	27.3	c	lluvia
1	19.4	c	lluvia
0	29.5	c	lluvia
0	41.7	c	lluvia
0	23.7	c	lluvia
1	22.8	c	lluvia
0	29.1	c	lluvia
0	30.6	c	lluvia
1	36.5	c	lluvia
1	15.2	c	lluvia
0	32.3	c	lluvia
1	36.9	c	lluvia
0	27.3	c	lluvia
0	23.6	c	lluvia
0	29.8	c	lluvia
0	40.6	c	lluvia
0	45	c	lluvia
0	28.8	c	lluvia
1	33.7	c	lluvia
1	21.3	c	lluvia
1	30.7	c	lluvia
0	32.6	c	lluvia
0	42.5	c	lluvia
0	32.6	c	lluvia
0	29.6	c	lluvia
0	41.4	c	lluvia
0	39.4	c	lluvia
1	33	c	lluvia
0	33.5	c	lluvia
0	40.2	c	lluvia
0	36.2	c	lluvia
0	37.7	c	lluvia
0	29.6	c	lluvia
1	15.9	c	lluvia
0	35.7	c	lluvia
0	35.5	a	seco
0	29	a	seco
1	20.1	a	seco
0	19.7	a	seco
0	36.7	a	seco
1	26.8	a	seco
0	32.3	a	seco
0	43.9	a	seco
0	37	a	seco
0	28.2	a	seco
0	39.5	a	seco
0	37.6	a	seco
0	44	a	seco
0	36.1	a	seco
1	18.4	a	seco
0	26.7	a	seco
0	35	a	seco
1	24.8	a	seco
0	24.3	a	seco
0	38.8	a	seco
0	38.3	a	seco
0	31.6	a	seco
1	31.4	a	seco
1	13.9	a	seco
0	34	a	seco
0	40.6	a	seco
0	44.9	b	seco
0	31.4	b	seco
0	26.2	b	seco
1	27.5	b	seco
0	39.6	b	seco
1	18.7	b	seco
1	5.4	b	seco
1	34.6	b	seco
0	33.5	b	seco
0	25	b	seco
0	26.9	b	seco
0	53.1	b	seco
0	22.7	b	seco
1	31.3	b	seco
0	48.6	b	seco
1	24.4	b	seco
1	36	b	seco
0	24.2	b	seco
0	25.9	b	seco
0	35.7	b	seco
0	37.3	b	seco
0	33.9	b	seco
0	20.1	b	seco
1	12.5	b	seco
1	14	b	seco
0	27.9	b	seco
0	45.6	b	seco
0	43.7	b	seco
0	19.4	b	seco
0	26.9	b	seco
0	34.2	b	seco
1	31.6	b	seco
1	30.6	b	seco
0	30.1	b	seco
0	37	b	seco
1	20.8	b	seco
0	44.3	b	seco
1	21.6	b	seco
0	41	b	seco
0	32.8	b	seco
0	40.9	b	seco
1	14.3	c	seco
0	35.1	c	seco
1	27.7	c	seco
0	37.1	c	seco
1	22.9	c	seco
1	18.1	c	seco
0	35.2	c	seco
0	44.1	c	seco
1	21.4	c	seco
1	26.4	c	seco
0	26.9	c	seco
1	24.2	c	seco
0	31.9	c	seco
1	36.1	c	seco
1	24.3	c	seco
1	35.8	c	seco
1	23	c	seco
1	27.2	c	seco
1	37.3	c	seco
0	29.6	c	seco
0	33.8	c	seco
0	42.5	c	seco
1	22.8	c	seco
1	30.6	c	seco
0	50.5	c	seco
1	18.6	c	seco
1	28.5	c	seco
